MASS_PLANET_OBS   MASS_PLANET_SIGMA RADIUS_PLANET RADIUS_PLANET_SIGMA PERIOD ENFRAC  H_OBS  H_SIGMA  K_OBS K_SIGMA
11.0 1.4 2.22 0.27  9.6304 3.e-03 -0.25  0.17 -0.07  0.31
 6.8 5.0 1.78 0.21 20.5844 6.e-04  0.32  0.07 -0.09  0.33
 6.3 4.9 1.60 0.19 33.4456 2.e-05  0.13  0.10 -0.27  0.22
28.1 5.0 2.69 0.32 10.2836 5.e-03  0.04  0.15 -0.30  0.27
12.0 1.6 1.85 0.22 64.9937 1.e-05  0.11  0.20 -0.13  0.11
24.9 4.5 3.38 0.41 18.6645 5.e-02  0.11  0.24 -0.23  0.10
15.9 2.7 2.37 0.28 36.4160 5.e-03 -0.12  0.25  0.16  0.29
15.4 2.6 2.55 0.31  6.8367 1.e-02 -0.14  0.21  0.29  0.11
29.4 5.0 2.24 0.27  9.2275 1.e-05  0.03  0.16  0.04  0.26
15.8 1.9 1.97 0.24 49.0432 4.e-05 -0.25  0.08 -0.10  0.21
 9.5 4.3 1.76 0.21 95.7970 4.e-05 -0.16  0.22  0.24  0.25
10.9 2.7 1.81 0.22  6.7817 1.e-05  0.10  0.24  0.20  0.32
24.3 4.3 2.16 0.26  3.6793 5.e-05 -0.42  0.16  0.12  0.30
24.8 3.6 2.16 0.26 97.6156 2.e-05  0.09  0.06 -0.25  0.31
 5.7 5.7 2.02 0.24 38.1952 4.e-03 -0.12  0.11  0.02  0.10
 1.9 4.6 1.51 0.18  9.8655 3.e-03  0.06  0.19 -0.29  0.39
13.5 1.2 1.90 0.23  5.0833 1.e-05 -0.03  0.16  0.07  0.25
21.9 1.7 2.17 0.26 34.6652 3.e-04  0.05  0.12  0.13  0.22
10.1 6.0 2.09 0.25 20.6039 2.e-03  0.14  0.14  0.33  0.37
18.8 3.7 2.04 0.24 34.1290 1.e-05 -0.27  0.18 -0.02  0.30
22.7 2.8 2.15 0.26 61.5260 1.e-04  0.01  0.15 -0.38  0.29
29.8 5.2 2.25 0.27 22.2324 2.e-05  0.06  0.23  0.04  0.35
27.6 3.0 3.51 0.42 50.6683 5.e-02  0.13  0.21  0.22  0.32
 6.1 2.4 1.62 0.19  1.2029 1.e-04 -0.02  0.10 -0.15  0.27
24.7 2.2 3.58 0.43 46.8203 6.e-02  0.00  0.06  0.00  0.37
 1.2 4.8 2.36 0.28 47.3498 1.e-02 -0.05  0.25 -0.02  0.26
 5.1 5.3 1.52 0.18 22.9405 2.e-05  0.12  0.17 -0.02  0.34
 3.3 2.2 1.37 0.16  9.3409 2.e-05 -0.13  0.13  0.26  0.33
 4.9 1.4 1.65 0.20 45.7614 5.e-04  0.05  0.22 -0.24  0.27
 4.7 4.8 1.63 0.20  5.0587 4.e-04  0.16  0.17 -0.17  0.16
 1.8 1.9 1.31 0.16 34.0807 4.e-04  0.07  0.23 -0.43  0.21
 4.2 4.6 1.92 0.23 11.5479 3.e-03  0.08  0.21  0.04  0.13
 2.9 5.6 1.32 0.16 28.1299 1.e-05 -0.14  0.24  0.30  0.35
 8.5 1.5 2.77 0.33  5.5174 2.e-02  0.04  0.17  0.23  0.37
13.3 2.0 1.90 0.23 28.5280 1.e-05  0.21  0.12  0.00  0.35
 3.8 5.4 1.43 0.17 15.3891 5.e-05  0.12  0.25 -0.42  0.40
 7.9 2.3 1.69 0.20  2.2437 1.e-05 -0.05  0.08 -0.03  0.35
28.9 4.3 3.68 0.44  2.9178 5.e-02 -0.14  0.16 -0.23  0.13
 8.2 2.9 1.70 0.20 35.8739 2.e-05  0.24  0.24 -0.15  0.35
13.1 4.5 1.91 0.23 24.6398 7.e-05 -0.20  0.12  0.02  0.31
24.3 3.5 2.66 0.32 10.1869 7.e-03  0.11  0.15 -0.13  0.22
20.7 4.8 2.09 0.25 18.4989 1.e-05  0.21  0.10 -0.11  0.35
12.7 5.6 1.89 0.23  1.7668 4.e-05  0.07  0.17 -0.19  0.18
 1.6 1.0 3.89 0.47 56.9394 9.e-02  0.00  0.24 -0.03  0.10
18.9 4.6 2.04 0.24 29.6153 1.e-05 -0.20  0.13 -0.10  0.33
 2.8 4.0 2.03 0.24 24.9711 7.e-03  0.41  0.13 -0.10  0.30
12.1 2.5 1.93 0.23 13.7927 3.e-04 -0.10  0.08 -0.05  0.17
29.9 1.2 2.28 0.27  6.5463 1.e-04  0.16  0.10  0.17  0.31
 8.1 4.1 1.72 0.21 25.7727 1.e-04  0.02  0.20  0.42  0.23
 7.7 5.4 2.70 0.32  9.6068 2.e-02  0.19  0.15 -0.19  0.40
 1.9 2.6 1.18 0.14 18.6842 1.e-05  0.12  0.19  0.03  0.25
 4.9 3.3 2.30 0.28 10.2254 1.e-02 -0.11  0.23  0.15  0.25
 6.8 4.7 3.01 0.36  7.8167 4.e-02 -0.12  0.08 -0.05  0.21
14.7 4.4 2.68 0.32 18.5678 2.e-02 -0.19  0.08  0.11  0.18
 3.8 1.5 1.73 0.21 78.7375 2.e-03  0.02  0.21 -0.02  0.18
 6.8 3.1 1.63 0.20  9.9526 2.e-05  0.40  0.12  0.04  0.21
 8.9 3.2 2.18 0.26  2.2301 2.e-03 -0.16  0.12 -0.09  0.24
11.2 4.9 3.02 0.36 58.0247 4.e-02  0.19  0.09 -0.03  0.12
 3.0 4.3 1.69 0.20 12.5306 1.e-03 -0.19  0.21 -0.02  0.30
 7.6 3.9 2.90 0.35 38.9901 4.e-02  0.02  0.14 -0.08  0.21
 4.0 5.9 2.66 0.32  7.6350 6.e-02  0.29  0.23  0.08  0.30
 8.1 5.5 1.71 0.21 13.3844 5.e-05 -0.01  0.16 -0.01  0.15
 5.2 6.0 1.53 0.18  3.3485 1.e-05  0.14  0.20 -0.42  0.34
 1.3 2.1 1.91 0.23 54.1650 7.e-03  0.04  0.15 -0.03  0.30
14.7 2.5 1.97 0.24  1.0124 1.e-04  0.02  0.24  0.08  0.26
 1.6 5.5 1.96 0.24 19.5498 2.e-02  0.00  0.08  0.00  0.30
 1.8 5.6 1.19 0.14  5.4410 6.e-05 -0.07  0.18  0.19  0.33
26.8 2.5 2.20 0.26 65.6509 2.e-05 -0.39  0.13 -0.01  0.12
13.8 2.5 2.15 0.26 20.3995 1.e-03  0.23  0.21 -0.10  0.25
 6.7 1.6 2.03 0.24 45.9485 4.e-03  0.02  0.12 -0.06  0.31
21.7 2.9 2.32 0.28  4.3365 9.e-04 -0.01  0.21 -0.03  0.26
25.2 1.4 2.18 0.26  1.3908 5.e-05 -0.10  0.19 -0.38  0.31
 6.4 4.2 1.61 0.19 67.5831 3.e-05  0.25  0.24  0.24  0.33
 1.1 2.1 2.00 0.24 19.9181 5.e-02  0.39  0.19  0.21  0.15
22.9 1.2 2.13 0.26 77.1053 1.e-05  0.03  0.12 -0.08  0.26
 9.7 5.2 1.78 0.21 44.4099 1.e-04  0.06  0.18 -0.01  0.19
15.6 4.6 1.96 0.24  6.3292 1.e-05  0.26  0.13 -0.25  0.23
12.4 2.8 2.05 0.25  9.6902 7.e-04 -0.02  0.14 -0.20  0.36
 9.8 2.4 1.77 0.21  5.0328 2.e-05  0.38  0.08  0.17  0.20
23.9 4.1 2.14 0.26  2.9871 1.e-05 -0.01  0.10 -0.11  0.38
 2.1 5.4 1.18 0.14  1.8321 1.e-03 -0.20  0.14 -0.32  0.28
15.3 2.3 2.26 0.27  3.9383 1.e-03 -0.34  0.23  0.15  0.17
 3.2 2.6 1.36 0.16 57.2574 4.e-05 -0.03  0.07  0.03  0.39
 3.5 2.7 1.72 0.21 46.1252 2.e-03 -0.12  0.15 -0.01  0.20
10.1 5.3 1.78 0.21 17.4496 1.e-05 -0.01  0.12 -0.09  0.34
15.2 2.1 1.95 0.23 18.7770 3.e-05 -0.09  0.06  0.13  0.25
16.1 5.0 1.98 0.24 27.0804 4.e-05 -0.09  0.10  0.15  0.35
 3.2 5.1 1.12 0.13  2.0600 7.e-02 -0.17  0.17 -0.24  0.17
22.4 2.4 2.17 0.26  4.1591 2.e-04  0.04  0.18  0.06  0.12
22.4 1.5 2.12 0.25  2.6151 4.e-05 -0.26  0.14  0.04  0.19
21.5 1.9 2.75 0.33 22.3280 1.e-02  0.16  0.24  0.33  0.32
29.2 3.9 2.24 0.27  6.5252 1.e-05 -0.13  0.10 -0.04  0.17
 2.3 4.9 1.29 0.15  2.8284 8.e-04  0.10  0.10 -0.14  0.33
22.9 5.8 2.12 0.25  3.5231 1.e-05  0.10  0.16 -0.02  0.21
 6.5 1.5 1.68 0.20 25.5142 3.e-04 -0.11  0.17 -0.09  0.24
 6.2 3.4 1.60 0.19 12.8375 4.e-05  0.11  0.18 -0.08  0.23
 2.6 5.7 1.32 0.16 21.0624 8.e-05 -0.02  0.16 -0.03  0.11
28.3 5.5 2.22 0.27 47.9469 1.e-05 -0.26  0.19  0.02  0.27
 1.1 3.5 1.11 0.13  4.8672 2.e-04 -0.39  0.21  0.11  0.34
 1.3 1.4 2.11 0.25 21.6826 7.e-02 -0.32  0.09  0.18  0.17
19.2 1.3 2.05 0.25 24.1564 1.e-05  0.14  0.18  0.24  0.33
17.0 1.3 3.14 0.38 22.1349 4.e-02  0.24  0.16 -0.36  0.24
19.9 3.4 2.91 0.35 64.4433 3.e-02  0.32  0.11 -0.27  0.36
 1.6 5.3 1.29 0.15 95.0726 6.e-04  0.02  0.17  0.03  0.27
 7.0 3.3 2.11 0.25 59.0437 6.e-03  0.05  0.13 -0.03  0.13
 9.0 3.4 2.24 0.27  2.2552 3.e-03  0.18  0.07  0.20  0.19
 7.0 3.0 2.33 0.28 13.0761 1.e-02  0.05  0.14  0.03  0.32
 7.9 2.3 1.68 0.20 84.3671 1.e-05  0.12  0.25  0.04  0.36
 2.6 5.5 1.46 0.18 93.7208 7.e-04  0.00  0.09 -0.04  0.15
21.1 5.4 2.09 0.25 19.5319 1.e-05 -0.25  0.22 -0.02  0.12
26.3 2.6 2.80 0.34  1.1290 5.e-03 -0.03  0.24  0.01  0.28
18.6 3.9 2.20 0.26 82.9389 8.e-04 -0.33  0.07 -0.02  0.20
 2.6 3.7 1.56 0.19  5.8479 7.e-04 -0.11  0.08  0.41  0.34
 1.6 4.5 1.85 0.22 57.0561 7.e-03 -0.08  0.12  0.23  0.31
 1.3 2.1 1.08 0.13  2.0690 2.e-04 -0.03  0.14  0.04  0.22
11.5 4.7 1.87 0.22 50.3527 2.e-04  0.37  0.13  0.05  0.26
11.3 1.7 1.83 0.22 70.9503 1.e-05  0.00  0.08  0.00  0.22
 6.4 1.4 1.60 0.19  3.0862 2.e-05  0.14  0.06  0.01  0.33
11.9 1.7 1.85 0.22 19.0271 2.e-05  0.05  0.14  0.18  0.18
 4.7 1.4 1.50 0.18 12.9222 5.e-05 -0.16  0.10  0.26  0.22
 5.6 4.1 1.56 0.19 44.9610 1.e-05  0.05  0.09 -0.04  0.30
13.1 3.6 2.26 0.27 14.9012 4.e-03 -0.01  0.21  0.06  0.22
 5.2 5.4 1.61 0.19  2.5115 2.e-04 -0.02  0.17 -0.09  0.17
15.2 3.1 2.11 0.25 38.4688 8.e-04  0.40  0.24  0.15  0.35
 6.6 5.3 2.26 0.27 36.3866 1.e-02  0.00  0.07 -0.01  0.20
12.2 1.3 1.86 0.22  1.1739 2.e-05  0.08  0.20  0.24  0.22
15.1 5.1 1.95 0.23  3.1957 2.e-05 -0.16  0.14  0.06  0.38
16.5 2.0 1.98 0.24 47.8086 4.e-05  0.00  0.07  0.00  0.30
25.5 2.9 2.59 0.31 13.6259 5.e-03  0.01  0.11  0.00  0.23
21.9 1.6 2.11 0.25 50.8216 1.e-05  0.26  0.10 -0.07  0.24
 5.0 1.1 2.33 0.28  1.1698 2.e-02  0.04  0.07  0.06  0.33
20.2 2.7 2.39 0.29 12.3221 2.e-03  0.00  0.15  0.01  0.22
 1.8 1.5 1.46 0.18  9.6742 8.e-04 -0.20  0.22 -0.19  0.15
21.9 3.2 2.60 0.31 12.5267 7.e-03  0.01  0.06  0.02  0.19
 1.2 4.7 2.92 0.35 37.4321 4.e-02  0.00  0.08  0.01  0.27
 4.4 1.1 1.57 0.19  1.3767 7.e-04 -0.13  0.08 -0.06  0.21
 6.1 2.9 1.65 0.20 80.6971 3.e-04 -0.06  0.12  0.44  0.16
 8.3 2.1 2.44 0.29 18.5228 1.e-02 -0.13  0.24 -0.39  0.28
 5.6 1.9 2.21 0.27 19.0765 9.e-03 -0.06  0.08  0.02  0.16
14.8 5.5 2.03 0.24 13.3905 4.e-04 -0.02  0.14  0.10  0.29
 2.0 2.8 1.54 0.18 27.1583 1.e-03  0.35  0.10  0.02  0.10
 4.0 1.9 2.14 0.26 33.5341 8.e-03  0.28  0.21 -0.30  0.34
13.1 1.5 3.26 0.39  3.0926 4.e-02  0.00  0.13  0.00  0.22
22.4 2.6 2.15 0.26 53.9626 2.e-04  0.16  0.08 -0.02  0.29
15.5 5.3 1.96 0.24  1.8713 1.e-05  0.01  0.06  0.31  0.15
15.3 5.4 1.95 0.23 95.0969 2.e-05  0.05  0.20  0.13  0.30
 1.3 2.6 3.08 0.37 86.0086 4.e-02  0.25  0.15  0.36  0.35
 5.1 1.7 1.52 0.18 18.0094 1.e-05 -0.06  0.17 -0.35  0.24
 3.6 5.7 1.98 0.24  6.8566 4.e-02 -0.12  0.05  0.00  0.18
17.1 1.3 2.00 0.24 57.1977 1.e-05  0.44  0.08 -0.07  0.23
13.6 2.7 2.11 0.25  6.3611 7.e-04  0.07  0.23  0.00  0.22
 2.7 3.6 1.65 0.20  4.4151 5.e-02 -0.11  0.06  0.20  0.18
 2.3 2.4 2.57 0.31 16.6776 3.e-02 -0.10  0.06 -0.13  0.12
29.9 3.6 2.25 0.27 57.7407 1.e-05 -0.03  0.09  0.00  0.34
 5.6 5.2 1.56 0.19 67.4847 2.e-05 -0.09  0.13 -0.19  0.16
26.8 2.0 2.50 0.30 11.4649 1.e-03  0.01  0.19 -0.18  0.13
29.8 2.0 2.25 0.27  4.7182 2.e-05  0.21  0.25  0.17  0.24
 4.3 2.1 1.97 0.24  6.7021 3.e-03  0.20  0.10  0.19  0.20
 2.0 5.5 2.44 0.29 16.7294 2.e-02 -0.06  0.06  0.32  0.39
21.8 5.0 2.22 0.27  3.6802 4.e-04 -0.28  0.14 -0.10  0.19
 7.4 2.1 1.69 0.20  1.5350 8.e-05  0.06  0.17 -0.27  0.29
20.6 1.4 2.53 0.30 65.6545 7.e-03 -0.28  0.14  0.31  0.17
 4.4 4.5 1.47 0.18  3.3761 2.e-05  0.31  0.13  0.18  0.20
28.8 5.3 2.27 0.27 96.8133 2.e-04  0.09  0.11 -0.04  0.18
 8.4 4.3 3.71 0.45 76.9672 1.e-01 -0.32  0.09 -0.22  0.21
 6.9 3.7 2.29 0.27 34.3202 1.e-02 -0.15  0.14  0.23  0.19
 8.4 4.8 2.00 0.24 15.2462 2.e-03  0.25  0.17 -0.20  0.33
 6.0 1.1 1.58 0.19  2.3874 1.e-05 -0.32  0.12 -0.23  0.24
 4.0 3.3 1.83 0.22 80.7867 3.e-03 -0.14  0.22  0.22  0.36
 4.9 5.3 1.43 0.17  1.8725 3.e-02  0.02  0.10  0.01  0.28
21.6 1.4 2.11 0.25  9.1107 3.e-05 -0.33  0.22  0.18  0.20
21.5 2.6 2.21 0.27  4.3762 4.e-04 -0.09  0.15  0.13  0.23
 9.8 1.6 2.05 0.25  7.6481 1.e-03  0.00  0.09 -0.26  0.22
20.5 2.5 2.10 0.25 12.8843 1.e-04  0.00  0.09  0.00  0.38
 7.6 5.2 1.67 0.20  6.3033 1.e-05 -0.11  0.11  0.30  0.19
26.6 5.2 3.01 0.36 10.1390 2.e-02  0.00  0.08  0.01  0.38
 7.7 4.5 1.74 0.21 10.1225 2.e-04 -0.16  0.12  0.10  0.22
12.0 4.0 3.25 0.39 32.4664 5.e-02  0.22  0.19  0.09  0.17
11.4 2.4 3.39 0.41 14.8709 6.e-02  0.23  0.16  0.36  0.21
 1.7 1.9 1.95 0.23 19.4717 7.e-02  0.19  0.19 -0.05  0.12
25.9 2.0 2.19 0.26 83.2963 6.e-05  0.05  0.06 -0.18  0.19
10.4 4.0 1.79 0.21  2.2702 1.e-05 -0.18  0.07  0.29  0.28
 6.4 1.4 1.94 0.23 14.8244 1.e-03 -0.19  0.22  0.38  0.29
 3.2 2.3 1.36 0.16 31.5258 2.e-05 -0.03  0.22  0.06  0.22
 1.2 2.5 1.09 0.13  8.1584 8.e-05  0.30  0.07 -0.22  0.11
23.9 1.6 2.16 0.26  6.0835 6.e-05  0.26  0.19 -0.11  0.40
15.4 3.1 2.31 0.28  3.4327 1.e-03 -0.03  0.15 -0.09  0.27
 6.6 2.3 1.80 0.22  6.1351 6.e-04 -0.39  0.21  0.08  0.13
 2.9 1.8 1.01 0.12  2.0917 7.e-04 -0.09  0.10 -0.14  0.26
 1.0 2.0 1.00 0.12 11.1270 1.e-05  0.03  0.07 -0.01  0.27
17.2 1.8 3.13 0.38 79.0747 4.e-02  0.01  0.07 -0.01  0.33
 5.3 5.4 1.54 0.18 21.4262 5.e-05  0.20  0.11 -0.08  0.31
16.0 5.0 2.39 0.29 25.6949 5.e-03  0.01  0.16 -0.05  0.26
28.6 5.4 2.27 0.27  1.5322 1.e-04 -0.42  0.16 -0.06  0.36
 5.9 3.8 1.62 0.19  2.4871 2.e-04  0.17  0.08  0.04  0.23
 7.9 2.8 3.83 0.46  9.1133 9.e-02  0.26  0.12  0.12  0.15
 3.5 4.0 1.39 0.17 46.8659 1.e-05 -0.25  0.24 -0.32  0.28
24.2 3.2 2.55 0.31  1.4700 3.e-03  0.22  0.21  0.20  0.12
20.1 3.9 2.43 0.29  2.2083 2.e-03  0.02  0.07 -0.05  0.24
13.1 1.4 2.34 0.28 61.2411 7.e-03 -0.06  0.18 -0.12  0.11
 6.0 5.9 1.58 0.19 19.7316 2.e-05 -0.01  0.23 -0.06  0.35
 9.5 5.9 2.05 0.25 12.7488 1.e-03 -0.03  0.12  0.35  0.38
 1.1 2.6 1.03 0.12  2.8241 3.e-05  0.28  0.23 -0.02  0.39
 3.4 4.8 1.39 0.17  2.7926 3.e-05 -0.14  0.07  0.06  0.20
20.1 3.9 2.15 0.26 55.2341 4.e-04 -0.30  0.17  0.26  0.20
 2.0 3.1 3.31 0.40 18.4098 8.e-02  0.04  0.22  0.33  0.15
18.0 3.3 2.02 0.24  2.1648 1.e-05 -0.35  0.14  0.11  0.15
 6.9 5.5 1.92 0.23  4.9398 9.e-04 -0.11  0.17  0.30  0.32
16.3 3.6 1.99 0.24  7.5147 5.e-05 -0.14  0.19  0.18  0.37
 2.5 2.4 2.71 0.33 73.1728 3.e-02 -0.05  0.22 -0.06  0.20
16.1 4.5 1.97 0.24 68.9333 1.e-05 -0.27  0.08 -0.09  0.33
18.2 4.6 2.03 0.24 15.7290 1.e-05  0.11  0.23 -0.10  0.24
14.7 1.2 1.94 0.23  2.0365 2.e-05  0.09  0.21 -0.03  0.34
 5.7 2.1 2.00 0.24  4.4156 2.e-03  0.26  0.20  0.16  0.18
 3.3 5.5 1.60 0.19 10.9685 6.e-04 -0.20  0.15  0.33  0.21
 4.3 5.4 1.46 0.18  3.1698 1.e-05 -0.06  0.18  0.44  0.14
20.7 5.7 3.14 0.38  7.2953 3.e-02  0.07  0.23 -0.01  0.15
22.7 5.7 2.30 0.28 20.5158 8.e-04  0.03  0.20  0.03  0.27
15.2 2.5 2.07 0.25 37.4903 6.e-04  0.19  0.20 -0.13  0.13
10.5 3.2 1.81 0.22 20.5610 7.e-05 -0.06  0.18  0.16  0.34
15.3 2.7 1.95 0.23  6.1653 2.e-05 -0.12  0.07 -0.01  0.31
 5.1 5.3 1.57 0.19 63.8219 2.e-04 -0.17  0.21 -0.32  0.29
 4.9 4.5 1.66 0.20 13.0505 6.e-04 -0.01  0.16 -0.03  0.28
22.7 5.4 3.97 0.48 11.5150 8.e-02  0.00  0.20  0.00  0.25
 3.0 2.4 1.66 0.20 11.2306 1.e-03  0.27  0.19  0.15  0.37
 1.9 1.4 2.30 0.28 22.9146 3.e-02 -0.17  0.05  0.16  0.15
 3.3 2.4 2.98 0.36 11.5361 5.e-02 -0.40  0.20  0.16  0.32
 1.9 2.6 1.23 0.15  3.2148 1.e-04  0.36  0.14 -0.13  0.30
18.9 3.3 2.04 0.24  8.1030 1.e-05  0.37  0.07  0.00  0.14
 3.9 1.8 1.43 0.17 11.5293 4.e-05  0.03  0.11  0.07  0.13
 5.9 3.3 3.13 0.38 32.8797 6.e-02  0.12  0.22 -0.14  0.11
 2.4 2.7 1.26 0.15  7.1540 1.e-05  0.22  0.10  0.02  0.27
 4.5 3.7 2.07 0.25 10.5802 1.e-02  0.02  0.05 -0.01  0.32
 8.2 4.0 1.70 0.20 68.1962 2.e-05 -0.21  0.15 -0.39  0.13
 5.1 5.0 1.41 0.17  1.2236 3.e-04  0.45  0.16  0.04  0.31
11.9 3.4 1.91 0.23  5.1839 2.e-04 -0.12  0.13 -0.04  0.11
 5.8 2.9 1.96 0.24 91.7436 4.e-03  0.29  0.09 -0.10  0.28
 8.2 5.6 1.71 0.21 45.1591 6.e-05 -0.14  0.17  0.10  0.39
15.4 1.4 1.95 0.23  7.4920 2.e-05  0.00  0.08 -0.01  0.38
 2.6 2.8 1.67 0.20  6.6483 6.e-03 -0.36  0.18 -0.14  0.34
27.4 3.8 2.21 0.27 11.1798 1.e-05 -0.02  0.11  0.09  0.18
 3.2 5.4 1.26 0.15  1.0200 6.e-05 -0.41  0.22 -0.12  0.18
20.1 2.6 2.97 0.36 29.2680 3.e-02  0.00  0.07 -0.15  0.39
 2.2 4.9 1.76 0.21 13.2136 2.e-02  0.15  0.20 -0.10  0.39
22.7 5.8 2.53 0.30 22.3485 4.e-03 -0.02  0.21  0.10  0.38
 1.6 4.7 1.38 0.17  9.0697 6.e-04  0.03  0.09  0.40  0.38
23.8 4.5 2.53 0.30  1.4041 1.e-03  0.04  0.23  0.02  0.37
 7.2 3.2 1.75 0.21 13.9091 4.e-04  0.13  0.25 -0.10  0.37
 6.6 3.6 3.23 0.39 29.5478 6.e-02 -0.40  0.17  0.09  0.37
25.9 2.1 2.69 0.32 11.1897 7.e-03 -0.13  0.12 -0.08  0.11
 4.7 3.1 1.49 0.18 10.5216 3.e-05  0.20  0.23 -0.25  0.38
 3.7 5.9 1.42 0.17  3.8970 4.e-05 -0.14  0.18 -0.22  0.29
20.6 1.7 2.09 0.25 16.3797 5.e-05 -0.01  0.08  0.08  0.23
26.5 4.5 2.21 0.27 63.2700 9.e-05 -0.42  0.22  0.11  0.16
 1.8 5.7 1.31 0.16 52.2035 5.e-04 -0.34  0.07 -0.18  0.36
 9.8 5.2 1.77 0.21 61.1654 4.e-05  0.35  0.12 -0.24  0.29
 7.7 3.2 2.05 0.25  3.5520 1.e-03 -0.14  0.10  0.09  0.18
 1.7 5.3 1.83 0.22 23.2780 5.e-03 -0.28  0.16 -0.19  0.16
 1.9 2.3 2.50 0.30 31.1258 2.e-02  0.11  0.22  0.04  0.14
14.2 4.3 1.92 0.23 83.8110 1.e-05 -0.11  0.10  0.08  0.20
 2.9 5.5 1.63 0.20  4.1393 7.e-04  0.20  0.14 -0.23  0.32
 9.6 5.9 1.76 0.21  9.7284 2.e-05  0.40  0.19  0.17  0.11
 4.2 5.7 2.15 0.26 11.2551 8.e-03 -0.01  0.16 -0.09  0.28
 9.4 5.6 2.11 0.25  6.3638 2.e-03  0.04  0.18  0.41  0.10
23.6 1.5 2.14 0.26  6.7658 4.e-05 -0.02  0.12  0.00  0.34
 5.6 2.1 2.54 0.30 11.5339 2.e-02  0.00  0.11  0.00  0.34
 7.2 1.2 3.76 0.45  8.4756 8.e-02  0.00  0.10  0.00  0.18
21.1 2.7 2.09 0.25 95.1487 2.e-05 -0.24  0.11 -0.07  0.12
 6.4 3.7 1.73 0.21 50.6848 5.e-04  0.02  0.09 -0.18  0.16
10.6 4.4 1.84 0.22 73.6738 2.e-04 -0.07  0.13  0.16  0.22
 3.2 3.0 2.98 0.36 73.1368 5.e-02 -0.25  0.08 -0.06  0.16
24.2 2.4 2.15 0.26 90.9420 1.e-05  0.03  0.21  0.02  0.11
 7.3 5.5 1.66 0.20  9.2856 4.e-05 -0.20  0.10  0.01  0.34
 2.1 1.8 3.03 0.36 22.6835 8.e-02 -0.02  0.11  0.00  0.10
18.4 2.1 2.11 0.25  1.6910 3.e-04 -0.15  0.08  0.05  0.40
 3.8 2.5 1.44 0.17 20.4446 8.e-05 -0.10  0.23 -0.12  0.18
23.9 5.9 2.76 0.33 29.3821 1.e-02 -0.18  0.20  0.07  0.30
16.1 2.4 1.97 0.24 28.6267 1.e-05  0.27  0.13 -0.08  0.30
19.6 3.4 2.06 0.25 66.4669 1.e-05  0.04  0.16 -0.03  0.17
 2.3 1.1 1.36 0.16 60.3771 4.e-04 -0.39  0.06 -0.22  0.24
 1.1 4.9 1.58 0.19 16.9801 2.e-03 -0.02  0.17 -0.02  0.37
 6.0 2.3 1.60 0.19  6.6614 6.e-05 -0.10  0.22 -0.25  0.15
 3.2 3.1 2.12 0.25 25.2482 8.e-03  0.12  0.24  0.20  0.19
22.9 2.3 2.13 0.26 84.8716 2.e-05 -0.31  0.23 -0.05  0.20
 5.3 3.1 1.87 0.22 28.7435 2.e-03 -0.10  0.24 -0.09  0.23
 3.0 5.7 1.07 0.13  1.9089 1.e-02  0.02  0.25  0.01  0.13
 3.0 1.1 1.34 0.16 60.8983 2.e-05 -0.13  0.21 -0.04  0.12
23.6 5.5 2.20 0.26 68.4697 3.e-04 -0.13  0.08  0.01  0.29
 7.2 1.5 2.06 0.25  2.4691 1.e-03  0.27  0.22  0.24  0.15
13.3 2.2 1.90 0.23 32.2807 2.e-05  0.20  0.23  0.07  0.33
 3.1 2.8 1.35 0.16 14.3839 1.e-05 -0.41  0.17 -0.04  0.39
 6.4 5.5 1.60 0.19 33.8357 1.e-05 -0.18  0.10  0.01  0.31
 5.2 5.7 2.27 0.27 16.9916 1.e-02  0.01  0.05  0.00  0.33
 4.4 4.2 1.47 0.18  8.1820 1.e-05 -0.04  0.16  0.02  0.22
 2.3 1.6 1.57 0.19 32.1009 1.e-03 -0.15  0.25  0.02  0.30
 4.6 5.6 1.49 0.18  2.1282 2.e-05 -0.28  0.16  0.27  0.29
17.0 3.6 2.00 0.24  1.5533 2.e-05  0.19  0.06 -0.31  0.11
 9.3 3.2 2.07 0.25  1.2316 8.e-04 -0.08  0.14 -0.25  0.19
25.2 4.0 2.17 0.26 42.6236 4.e-05  0.22  0.15 -0.15  0.27
 6.7 1.2 1.62 0.19 73.2643 2.e-05 -0.21  0.14  0.02  0.10
 2.8 1.6 2.08 0.25 87.9083 1.e-02  0.02  0.22 -0.23  0.27
18.1 4.2 3.06 0.37 67.9750 4.e-02  0.33  0.14 -0.21  0.19
 6.5 5.7 2.70 0.32 43.9922 3.e-02 -0.18  0.13  0.35  0.16
21.7 3.1 3.51 0.42 65.8480 6.e-02 -0.27  0.12  0.35  0.19
21.2 3.8 2.60 0.31  8.6351 7.e-03  0.05  0.09  0.26  0.36
16.2 3.7 1.98 0.24 64.0229 4.e-05 -0.34  0.13  0.14  0.22
13.9 2.1 1.92 0.23  4.6789 5.e-05 -0.12  0.23  0.12  0.18
13.4 1.9 2.30 0.28 16.3618 4.e-03 -0.11  0.17 -0.16  0.13
 3.0 5.1 2.55 0.31 47.6343 2.e-02  0.43  0.15 -0.12  0.11
 7.0 5.0 1.59 0.19  1.5320 1.e-05  0.03  0.09  0.35  0.23
 2.2 5.6 1.38 0.17 23.6558 5.e-04  0.07  0.16  0.05  0.29
 9.9 1.1 1.91 0.23 30.3547 6.e-04 -0.08  0.07  0.04  0.39
